label,bram_base,dsp_adder_bo,dsp_adder_clocked,lut_total,lut_logic,lut_memory,ff,bram_tile,bram_ramb18_used,bram_ramb36_used,dsp,dsp_promoted_ir,dsp_inferred_vivado,cycles,latency_ns,wns_pp,fmax_pp_MHz,wns_pr,fmax_pr_MHz,status,bit_exact_passed
bram_7_5__boNone,"(7, 5)",,False,31360.0,28862.0,2498.0,28425.0,98.0,192.0,2.0,0.0,0,0.0,24,93.93599999999999,1.187,262.2606871230003,1.086,255.49310168625448,met,True
bram_7_5__bo9_comb,"(7, 5)",9.0,False,23782.0,21653.0,2129.0,25395.0,98.0,192.0,2.0,1272.0,1600,1272.0,24,126.33600000000001,-0.135,194.74196689386562,-0.264,189.9696048632219,routing_fail,True
bram_7_5__bo9_clocked,"(7, 5)",9.0,True,39092.0,22070.0,17022.0,28689.0,102.5,201.0,2.0,1434.0,1600,1434.0,75,361.12500000000006,1.014,250.8780732563974,0.185,207.68431983385253,met,True
bram_7_5__bo10_comb,"(7, 5)",10.0,False,24463.0,22334.0,2129.0,25703.0,98.0,192.0,2.0,1110.0,1363,1110.0,24,133.152,-0.391,185.49434242255612,-0.548,180.2451333813987,routing_fail,True
bram_7_5__bo10_clocked,"(7, 5)",10.0,True,37046.0,22491.0,14555.0,24788.0,99.5,195.0,2.0,1197.0,1363,1197.0,72,351.432,0.757,235.68230025925052,0.119,204.87604998975618,met,True
bram_7_5__bo11_comb,"(7, 5)",11.0,False,26697.0,24495.0,2202.0,26160.0,121.5,239.0,2.0,635.0,797,635.0,24,127.96799999999999,-0.386,185.6665428889714,-0.332,187.54688672168044,routing_fail,True
bram_7_5__bo11_clocked,"(7, 5)",11.0,True,37046.0,24649.0,12397.0,24664.0,98.5,193.0,2.0,674.0,797,674.0,63,304.542,0.928,245.5795677799607,0.166,206.8680182043856,met,True
bram_7_5__bo12_comb,"(7, 5)",12.0,False,28382.0,26094.0,2288.0,27634.0,98.0,192.0,2.0,335.0,448,335.0,24,120.33600000000001,0.004,200.16012810248196,-0.014,199.4415636218588,routing_fail,True
bram_7_5__bo12_clocked,"(7, 5)",12.0,True,35273.0,26246.0,9027.0,26869.0,102.0,200.0,2.0,360.0,448,360.0,57,280.041,0.965,247.83147459727385,0.087,203.5416242621616,met,True
bram_7_5__bo13_comb,"(7, 5)",13.0,False,29026.0,26698.0,2328.0,28244.0,98.0,192.0,2.0,251.0,348,251.0,24,126.12,0.013,200.52135552436334,-0.255,190.29495718363464,routing_fail,True
bram_7_5__bo13_clocked,"(7, 5)",13.0,True,31355.0,26779.0,4576.0,29826.0,98.5,193.0,2.0,272.0,348,272.0,46,216.292,1.136,258.79917184265014,0.298,212.6754572522331,met,True
bram_7_5__bo14_comb,"(7, 5)",14.0,False,29408.0,27077.0,2331.0,28441.0,98.0,192.0,2.0,213.0,286,213.0,24,119.49600000000001,0.107,204.37359493153485,0.021,200.8435428800964,met,True
bram_7_5__bo14_clocked,"(7, 5)",14.0,True,30885.0,27150.0,3735.0,31126.0,99.0,194.0,2.0,226.0,286,226.0,39,178.425,1.117,257.53283543651816,0.425,218.5792349726776,met,True
bram_7_5__bo15_comb,"(7, 5)",15.0,False,29984.0,27652.0,2332.0,28330.0,98.0,192.0,2.0,139.0,196,139.0,24,119.78399999999999,0.189,207.85699438786116,0.009,200.36064916850333,met,True
bram_7_5__bo15_clocked,"(7, 5)",15.0,True,31402.0,27682.0,3720.0,30324.0,98.5,193.0,2.0,148.0,196,148.0,36,151.596,1.247,266.4535038635758,0.789,237.47328425552124,met,True
bram_7_5__bo16_comb,"(7, 5)",16.0,False,30756.0,28342.0,2414.0,28336.0,98.0,192.0,2.0,50.0,64,50.0,24,109.19999999999999,0.549,224.6686137946529,0.45,219.7802197802198,met,True
bram_7_5__bo16_clocked,"(7, 5)",16.0,True,32158.0,28346.0,3812.0,30024.0,98.0,192.0,2.0,52.0,64,52.0,35,158.55,0.63,228.83295194508008,0.47,220.7505518763797,met,True
bram_7_5__bo18_comb,"(7, 5)",18.0,False,31164.0,28721.0,2443.0,28439.0,98.0,192.0,2.0,15.0,28,15.0,24,102.09599999999999,0.796,237.8686964795433,0.746,235.07287259050307,met,True
bram_7_5__bo18_clocked,"(7, 5)",18.0,True,32012.0,28795.0,3217.0,30359.0,98.0,192.0,2.0,16.0,28,16.0,30,125.19,0.629,228.78059940517042,0.827,239.63575365444524,met,True
bram_7_5__bo20_comb,"(7, 5)",20.0,False,31286.0,28843.0,2443.0,28505.0,98.0,192.0,2.0,9.0,21,9.0,24,98.088,0.918,244.9779519843214,0.913,244.67824810374358,met,True
bram_7_5__bo20_clocked,"(7, 5)",20.0,True,31319.0,28837.0,2482.0,28978.0,98.0,192.0,2.0,9.0,21,9.0,26,102.908,1.19,262.4671916010499,1.042,252.65285497726123,met,True
bram_6_3__boNone,"(6, 3)",,False,29382.0,26337.0,3045.0,32107.0,267.5,531.0,2.0,0.0,0,0.0,29,131.167,0.6,227.27272727272725,0.477,221.09219544550078,met,True
bram_6_3__bo9_comb,"(6, 3)",9.0,False,21644.0,18935.0,2709.0,27559.0,258.5,513.0,2.0,1290.0,1600,1290.0,29,156.107,-0.358,186.63680477790223,-0.383,185.7700167193015,routing_fail,True
bram_6_3__bo9_clocked,"(6, 3)",9.0,True,37330.0,19197.0,18133.0,32314.0,265.0,526.0,2.0,1434.0,1600,1434.0,90,437.21999999999997,0.805,238.37902264600714,0.142,205.84602717167562,met,True
bram_6_3__bo10_comb,"(6, 3)",10.0,False,22405.0,19696.0,2709.0,27823.0,258.5,513.0,2.0,1118.0,1363,1118.0,29,157.84699999999998,-0.297,188.78610534264678,-0.443,183.7222120154327,routing_fail,True
bram_6_3__bo10_clocked,"(6, 3)",10.0,True,35953.0,19938.0,16015.0,29862.0,259.0,514.0,2.0,1197.0,1363,1197.0,85,410.125,0.637,229.2000916800367,0.175,207.2538860103627,met,True
bram_6_3__bo11_comb,"(6, 3)",11.0,False,24890.0,21925.0,2965.0,29460.0,263.0,522.0,2.0,638.0,797,638.0,29,163.24099999999999,-0.74,174.21602787456445,-0.629,177.65144785930008,routing_fail,True
bram_6_3__bo11_clocked,"(6, 3)",11.0,True,38513.0,22012.0,16501.0,25389.0,258.5,513.0,2.0,674.0,797,674.0,73,351.057,1.074,254.71217524197655,0.191,207.94343938448742,met,True
bram_6_3__bo12_comb,"(6, 3)",12.0,False,26545.0,23613.0,2932.0,30896.0,258.5,513.0,2.0,333.0,448,333.0,29,155.469,-0.37,186.21973929236498,-0.361,186.53236336504384,routing_fail,True
bram_6_3__bo12_clocked,"(6, 3)",12.0,True,34926.0,23604.0,11322.0,26232.0,259.5,515.0,2.0,360.0,448,360.0,59,287.27099999999996,0.785,237.2479240806643,0.131,205.38098172109264,met,True
bram_6_3__bo13_comb,"(6, 3)",13.0,False,27174.0,24219.0,2955.0,31573.0,258.5,513.0,2.0,252.0,348,252.0,29,168.461,-0.551,180.14772113132767,-0.809,172.14666896195558,routing_fail,True
bram_6_3__bo13_clocked,"(6, 3)",13.0,True,29618.0,24309.0,5309.0,33080.0,260.5,517.0,2.0,272.0,348,272.0,47,228.655,0.65,229.8850574712644,0.135,205.5498458376156,met,True
bram_6_3__bo14_comb,"(6, 3)",14.0,False,27554.0,24590.0,2964.0,31921.0,258.5,513.0,2.0,214.0,286,214.0,29,146.392,0.016,200.64205457463885,-0.048,198.09825673534073,routing_fail,True
bram_6_3__bo14_clocked,"(6, 3)",14.0,True,29439.0,24639.0,4800.0,32326.0,258.0,512.0,2.0,226.0,286,226.0,42,203.07,0.844,240.61597690086623,0.165,206.82523267838675,met,True
bram_6_3__bo15_comb,"(6, 3)",15.0,False,28155.0,25149.0,3006.0,31782.0,258.5,513.0,2.0,139.0,196,139.0,29,136.09699999999998,0.339,214.5462347135808,0.307,213.0833155763904,met,True
bram_6_3__bo15_clocked,"(6, 3)",15.0,True,29564.0,25247.0,4317.0,33449.0,259.5,515.0,2.0,148.0,196,148.0,41,181.17900000000003,0.62,228.31050228310502,0.581,226.295541977823,met,True
bram_6_3__bo16_comb,"(6, 3)",16.0,False,28818.0,25798.0,3020.0,31809.0,267.5,531.0,2.0,50.0,64,50.0,29,140.534,0.46,220.26431718061673,0.154,206.35575732562938,met,True
bram_6_3__bo16_clocked,"(6, 3)",16.0,True,30476.0,25998.0,4478.0,34798.0,267.5,531.0,2.0,52.0,64,52.0,39,180.92100000000002,0.657,230.25558369790468,0.361,215.5636990730761,met,True
bram_6_3__bo18_comb,"(6, 3)",18.0,False,29218.0,26173.0,3045.0,31870.0,267.5,531.0,2.0,15.0,28,15.0,29,136.79299999999998,0.568,225.63176895306856,0.283,211.999152003392,met,True
bram_6_3__bo18_clocked,"(6, 3)",18.0,True,30173.0,26169.0,4004.0,33022.0,267.5,531.0,2.0,16.0,28,16.0,34,154.326,0.518,223.11468094600625,0.461,220.31284423881914,met,True
bram_6_3__bo20_comb,"(6, 3)",20.0,False,29342.0,26297.0,3045.0,32033.0,267.5,531.0,2.0,9.0,21,9.0,29,129.34,0.526,223.51363433169422,0.54,224.2152466367713,met,True
bram_6_3__bo20_clocked,"(6, 3)",20.0,True,29397.0,26294.0,3103.0,32299.0,267.5,531.0,2.0,9.0,21,9.0,30,142.98,0.45,219.7802197802198,0.234,209.819555182543,met,True
